VCD info: dumpfile sm_core_tb.vcd opened for output.
============================================
  SM Core Testbench v1.2 â€” Starting
============================================

--- K1: Basic ALU (MOVI + ADD) ---
[PASS] T1: K1 R1=100  SP0.R1 = 0x0064
    [ 5] 00000000  NOP
    [ 6] 00000000  NOP
    [ 7] c000a00c  PBRA    P0, target=10, reconv=12
    [ 8] 2050bbbb  MOVI    R5, 48059 (0xbbbb)
    [ 9] b800000c  BRA     12
    [10] 2050aaaa  MOVI    R5, 43690 (0xaaaa)
    [11] 00000000  NOP
    [12] 2060cccc  MOVI    R6, 52428 (0xcccc)
    [13] c8000000  RET
  [C000] PC=0 dec=00000000 NOP      fv=0 | fstl=0 sb=0 exb=0 drn=1 de_fl=0 | mask=1111 stk_e=1 conv=00 pbra=0 | done=0
         SB: pend0=0000 pend1=0000 pend2=0000 pend3=0000 | wb_we_any=0 wb_rD=0 wb_amsk=0000 | wb_we[3:0]=0000 | DE: v=0 pbra=0 rD=0 | stk_sp=0 tos_rpc=x tos_ph=x
  [C001] PC=0 dec=1c000000 MOV      fv=0 | fstl=0 sb=0 exb=0 drn=1 de_fl=0 | mask=1111 stk_e=1 conv=00 pbra=0 | done=0
         SB: pend0=0000 pend1=0000 pend2=0000 pend3=0000 | wb_we_any=0 wb_rD=0 wb_amsk=0000 | wb_we[3:0]=0000 | DE: v=0 pbra=0 rD=0 | stk_sp=0 tos_rpc=x tos_ph=x
  [C002] PC=1 dec=1c000000 MOV      fv=1 | fstl=0 sb=0 exb=0 drn=1 de_fl=0 | mask=1111 stk_e=1 conv=00 pbra=0 | done=0
         SB: pend0=0000 pend1=0000 pend2=0000 pend3=0000 | wb_we_any=0 wb_rD=0 wb_amsk=0000 | wb_we[3:0]=0000 | DE: v=0 pbra=0 rD=0 | stk_sp=0 tos_rpc=x tos_ph=x
  [C003] PC=2 dec=20100001 MOVI     fv=1 | fstl=0 sb=0 exb=0 drn=1 de_fl=0 | mask=1111 stk_e=1 conv=00 pbra=0 | done=0
         SB: pend0=0000 pend1=0000 pend2=0000 pend3=0000 | wb_we_any=0 wb_rD=0 wb_amsk=0000 | wb_we[3:0]=0000 | DE: v=1 pbra=0 rD=0 | stk_sp=0 tos_rpc=x tos_ph=x
  [C004] PC=3 dec=20500000 MOVI     fv=1 | fstl=0 sb=0 exb=0 drn=0 de_fl=0 | mask=1111 stk_e=1 conv=00 pbra=0 | done=0
         SB: pend0=0001 pend1=0001 pend2=0001 pend3=0001 | wb_we_any=0 wb_rD=0 wb_amsk=0000 | wb_we[3:0]=0000 | DE: v=1 pbra=0 rD=1 | stk_sp=0 tos_rpc=x tos_ph=x
  [C005] PC=4 dec=aa001000 SETP     fv=1 | fstl=0 sb=0 exb=0 drn=0 de_fl=0 | mask=1111 stk_e=1 conv=00 pbra=0 | done=0
         SB: pend0=0003 pend1=0003 pend2=0003 pend3=0003 | wb_we_any=0 wb_rD=0 wb_amsk=0000 | wb_we[3:0]=0000 | DE: v=1 pbra=0 rD=5 | stk_sp=0 tos_rpc=x tos_ph=x
  [C006] PC=5 dec=00000000 NOP      fv=1 | fstl=1 sb=1 exb=0 drn=0 de_fl=0 | mask=1111 stk_e=1 conv=00 pbra=0 | done=0
         SB: pend0=0023 pend1=0023 pend2=0023 pend3=0023 | wb_we_any=0 wb_rD=0 wb_amsk=0000 | wb_we[3:0]=0000 | DE: v=1 pbra=0 rD=0 | stk_sp=0 tos_rpc=x tos_ph=x
  [C007] PC=5 dec=00000000 NOP      fv=1 | fstl=1 sb=1 exb=0 drn=0 de_fl=0 | mask=1111 stk_e=1 conv=00 pbra=0 | done=0
         SB: pend0=0023 pend1=0023 pend2=0023 pend3=0023 | wb_we_any=1 wb_rD=0 wb_amsk=1111 | wb_we[3:0]=1111 | DE: v=1 pbra=0 rD=0 | stk_sp=0 tos_rpc=x tos_ph=x
  [C008] PC=5 dec=00000000 NOP      fv=1 | fstl=0 sb=0 exb=0 drn=0 de_fl=0 | mask=1111 stk_e=1 conv=00 pbra=0 | done=0
         SB: pend0=0022 pend1=0022 pend2=0022 pend3=0022 | wb_we_any=1 wb_rD=1 wb_amsk=1111 | wb_we[3:0]=1111 | DE: v=1 pbra=0 rD=0 | stk_sp=0 tos_rpc=x tos_ph=x
  [C009] PC=6 dec=00000000 NOP      fv=1 | fstl=0 sb=0 exb=0 drn=0 de_fl=0 | mask=1111 stk_e=1 conv=00 pbra=0 | done=0
         SB: pend0=0020 pend1=0020 pend2=0020 pend3=0020 | wb_we_any=1 wb_rD=5 wb_amsk=1111 | wb_we[3:0]=1111 | DE: v=1 pbra=0 rD=0 | stk_sp=0 tos_rpc=x tos_ph=x
  [C010] PC=7 dec=00000000 NOP      fv=1 | fstl=0 sb=0 exb=0 drn=1 de_fl=0 | mask=1111 stk_e=1 conv=00 pbra=0 | done=0
         SB: pend0=0000 pend1=0000 pend2=0000 pend3=0000 | wb_we_any=0 wb_rD=5 wb_amsk=1111 | wb_we[3:0]=0000 | DE: v=1 pbra=0 rD=0 | stk_sp=0 tos_rpc=x tos_ph=x
  [C011] PC=8 dec=c000a00c PBRA     fv=1 | fstl=0 sb=0 exb=0 drn=1 de_fl=0 | mask=1111 stk_e=1 conv=00 pbra=0 | done=0
         SB: pend0=0000 pend1=0000 pend2=0000 pend3=0000 | wb_we_any=0 wb_rD=5 wb_amsk=1111 | wb_we[3:0]=0000 | DE: v=1 pbra=0 rD=0 | stk_sp=0 tos_rpc=x tos_ph=x
  [C012] PC=9 dec=2050bbbb MOVI     fv=1 | fstl=0 sb=0 exb=0 drn=1 de_fl=1 | mask=1111 stk_e=1 conv=00 pbra=1 | done=0
         SB: pend0=0000 pend1=0000 pend2=0000 pend3=0000 | wb_we_any=0 wb_rD=0 wb_amsk=1111 | wb_we[3:0]=0000 | DE: v=1 pbra=1 rD=0 | stk_sp=0 tos_rpc=x tos_ph=x
  [C013] PC=10 dec=b800000c BRA      fv=0 | fstl=0 sb=0 exb=0 drn=1 de_fl=0 | mask=0001 stk_e=0 conv=00 pbra=0 | done=0
         SB: pend0=0000 pend1=0000 pend2=0000 pend3=0000 | wb_we_any=0 wb_rD=0 wb_amsk=1111 | wb_we[3:0]=0000 | DE: v=0 pbra=1 rD=0 | stk_sp=1 tos_rpc=12 tos_ph=0
  [C014] PC=11 dec=2050aaaa MOVI     fv=1 | fstl=0 sb=0 exb=0 drn=1 de_fl=0 | mask=0001 stk_e=0 conv=00 pbra=0 | done=0
         SB: pend0=0000 pend1=0000 pend2=0000 pend3=0000 | wb_we_any=0 wb_rD=0 wb_amsk=1111 | wb_we[3:0]=0000 | DE: v=0 pbra=0 rD=0 | stk_sp=1 tos_rpc=12 tos_ph=0
  [C015] PC=12 dec=00000000 NOP      fv=1 | fstl=0 sb=0 exb=0 drn=1 de_fl=0 | mask=0001 stk_e=0 conv=10 pbra=0 | done=0
         SB: pend0=0000 pend1=0000 pend2=0000 pend3=0000 | wb_we_any=0 wb_rD=0 wb_amsk=1111 | wb_we[3:0]=0000 | DE: v=1 pbra=0 rD=5 | stk_sp=1 tos_rpc=12 tos_ph=0
  [C016] PC=8 dec=2060cccc MOVI     fv=0 | fstl=0 sb=0 exb=0 drn=0 de_fl=0 | mask=1110 stk_e=0 conv=00 pbra=0 | done=0
         SB: pend0=0020 pend1=0000 pend2=0000 pend3=0000 | wb_we_any=0 wb_rD=0 wb_amsk=1111 | wb_we[3:0]=0000 | DE: v=1 pbra=0 rD=0 | stk_sp=1 tos_rpc=12 tos_ph=1
  [C017] PC=9 dec=2050bbbb MOVI     fv=1 | fstl=0 sb=0 exb=0 drn=0 de_fl=0 | mask=1110 stk_e=0 conv=00 pbra=0 | done=0
         SB: pend0=0020 pend1=0000 pend2=0000 pend3=0000 | wb_we_any=0 wb_rD=0 wb_amsk=1111 | wb_we[3:0]=0000 | DE: v=0 pbra=0 rD=6 | stk_sp=1 tos_rpc=12 tos_ph=1
  [C018] PC=10 dec=b800000c BRA      fv=1 | fstl=0 sb=0 exb=0 drn=0 de_fl=0 | mask=1110 stk_e=0 conv=00 pbra=0 | done=0
         SB: pend0=0020 pend1=0000 pend2=0000 pend3=0000 | wb_we_any=0 wb_rD=0 wb_amsk=1111 | wb_we[3:0]=0000 | DE: v=1 pbra=0 rD=5 | stk_sp=1 tos_rpc=12 tos_ph=1
  [C019] PC=11 dec=2050aaaa MOVI     fv=1 | fstl=0 sb=0 exb=0 drn=0 de_fl=1 | mask=1110 stk_e=0 conv=00 pbra=0 | done=0
         SB: pend0=0020 pend1=0020 pend2=0020 pend3=0020 | wb_we_any=1 wb_rD=5 wb_amsk=0001 | wb_we[3:0]=1111 | DE: v=1 pbra=0 rD=0 | stk_sp=1 tos_rpc=12 tos_ph=1
  [C020] PC=12 dec=00000000 NOP      fv=0 | fstl=0 sb=0 exb=0 drn=0 de_fl=0 | mask=1110 stk_e=0 conv=01 pbra=0 | done=0
         SB: pend0=0000 pend1=0020 pend2=0020 pend3=0020 | wb_we_any=0 wb_rD=0 wb_amsk=1110 | wb_we[3:0]=0000 | DE: v=0 pbra=0 rD=0 | stk_sp=1 tos_rpc=12 tos_ph=1
  [C021] PC=13 dec=2060cccc MOVI     fv=1 | fstl=0 sb=0 exb=0 drn=0 de_fl=0 | mask=1111 stk_e=1 conv=00 pbra=0 | done=0
         SB: pend0=0000 pend1=0020 pend2=0020 pend3=0020 | wb_we_any=0 wb_rD=0 wb_amsk=1110 | wb_we[3:0]=0000 | DE: v=0 pbra=0 rD=0 | stk_sp=0 tos_rpc=x tos_ph=x
  [C022] PC=14 dec=c8000000 RET      fv=1 | fstl=0 sb=0 exb=0 drn=0 de_fl=0 | mask=1111 stk_e=1 conv=00 pbra=0 | done=0
         SB: pend0=0000 pend1=0020 pend2=0020 pend3=0020 | wb_we_any=1 wb_rD=5 wb_amsk=1110 | wb_we[3:0]=1111 | DE: v=1 pbra=0 rD=6 | stk_sp=0 tos_rpc=x tos_ph=x
  [C023] PC=15 dec=00000000 NOP      fv=1 | fstl=0 sb=0 exb=0 drn=0 de_fl=1 | mask=1111 stk_e=1 conv=00 pbra=0 | done=0
         SB: pend0=0040 pend1=0040 pend2=0040 pend3=0040 | wb_we_any=0 wb_rD=0 wb_amsk=1110 | wb_we[3:0]=0000 | DE: v=1 pbra=0 rD=0 | stk_sp=0 tos_rpc=x tos_ph=x
  [C024] PC=15 dec=00000000 NOP      fv=0 | fstl=0 sb=0 exb=0 drn=0 de_fl=0 | mask=1111 stk_e=1 conv=00 pbra=0 | done=0
         SB: pend0=0040 pend1=0040 pend2=0040 pend3=0040 | wb_we_any=0 wb_rD=0 wb_amsk=1110 | wb_we[3:0]=0000 | DE: v=0 pbra=0 rD=0 | stk_sp=0 tos_rpc=x tos_ph=x
  [C025] PC=15 dec=00000000 NOP      fv=0 | fstl=0 sb=0 exb=0 drn=0 de_fl=0 | mask=1111 stk_e=1 conv=00 pbra=0 | done=0
         SB: pend0=0040 pend1=0040 pend2=0040 pend3=0040 | wb_we_any=0 wb_rD=0 wb_amsk=1110 | wb_we[3:0]=0000 | DE: v=0 pbra=0 rD=0 | stk_sp=0 tos_rpc=x tos_ph=x
  [C026] PC=15 dec=00000000 NOP      fv=0 | fstl=0 sb=0 exb=0 drn=0 de_fl=0 | mask=1111 stk_e=1 conv=00 pbra=0 | done=0
         SB: pend0=0040 pend1=0040 pend2=0040 pend3=0040 | wb_we_any=1 wb_rD=6 wb_amsk=1111 | wb_we[3:0]=1111 | DE: v=0 pbra=0 rD=0 | stk_sp=0 tos_rpc=x tos_ph=x
  [C027] PC=15 dec=00000000 NOP      fv=0 | fstl=0 sb=0 exb=0 drn=1 de_fl=0 | mask=1111 stk_e=1 conv=00 pbra=0 | done=0
         SB: pend0=0000 pend1=0000 pend2=0000 pend3=0000 | wb_we_any=0 wb_rD=0 wb_amsk=1111 | wb_we[3:0]=0000 | DE: v=0 pbra=0 rD=0 | stk_sp=0 tos_rpc=x tos_ph=x
  [C028] PC=15 dec=00000000 NOP      fv=0 | fstl=0 sb=0 exb=0 drn=1 de_fl=0 | mask=1111 stk_e=1 conv=00 pbra=0 | done=0
         SB: pend0=0000 pend1=0000 pend2=0000 pend3=0000 | wb_we_any=0 wb_rD=0 wb_amsk=1111 | wb_we[3:0]=0000 | DE: v=0 pbra=0 rD=0 | stk_sp=0 tos_rpc=x tos_ph=x
  [C029] PC=15 dec=00000000 NOP      fv=0 | fstl=0 sb=0 exb=0 drn=1 de_fl=0 | mask=1111 stk_e=1 conv=00 pbra=0 | done=1
         SB: pend0=0000 pend1=0000 pend2=0000 pend3=0000 | wb_we_any=0 wb_rD=0 wb_amsk=1111 | wb_we[3:0]=0000 | DE: v=0 pbra=0 rD=0 | stk_sp=0 tos_rpc=x tos_ph=x
[PASS] T293: K34 SP0 R5=taken  SP0.R5 = 0xaaaa
[PASS] T294: K34 SP1 R5=fall  SP1.R5 = 0xbbbb
[PASS] T295: K34 SP2 R5=fall  SP2.R5 = 0xbbbb
[PASS] T296: K34 SP3 R5=fall  SP3.R5 = 0xbbbb
[PASS] T297: K34 R6=reconv  SP0.R6 = 0xcccc
[PASS] T298: K34 R6=reconv  SP1.R6 = 0xcccc
[PASS] T299: K34 R6=reconv  SP2.R6 = 0xcccc
[PASS] T300: K34 R6=reconv  SP3.R6 = 0xcccc

--- K35: SIMT nested divergence (depth 2) ---
  Outer: P0=(TID<2), Inner: P1=(TID<1)
  SP0â†’0x1111, SP1â†’0x2222, SP2,SP3â†’0x3333
  Program listing:
    [ 0] 1c000000  MOV.TID R0
    [ 1] 20100002  MOVI    R1, 2 (0x0002)
    [ 2] 20200001  MOVI    R2, 1 (0x0001)
    [ 3] 20500000  MOVI    R5, 0 (0x0000)
    [ 4] aa001000  SETP    P0, R0, R1 (cmp=2)
    [ 5] 00000000  NOP
    [ 6] 00000000  NOP
    [ 7] 00000000  NOP
    [ 8] c000b016  PBRA    P0, target=11, reconv=22
    [ 9] 20503333  MOVI    R5, 13107 (0x3333)
    [10] b8000016  BRA     22
    [11] aa102000  SETP    P1, R0, R2 (cmp=2)
    [12] 00000000  NOP
    [13] 00000000  NOP
    [14] 00000000  NOP
    [15] c2012014  PBRA    P1, target=18, reconv=20
    [16] 20502222  MOVI    R5, 8738 (0x2222)
    [17] b8000014  BRA     20
    [18] 20501111  MOVI    R5, 4369 (0x1111)
    [19] 00000000  NOP
    [20] 00000000  NOP
    [21] 00000000  NOP
    [22] 2060dddd  MOVI    R6, 56797 (0xdddd)
    [23] c8000000  RET
  [C000] PC=0 dec=00000000 NOP      fv=0 | fstl=0 sb=0 exb=0 drn=1 de_fl=0 | mask=1111 stk_e=1 conv=00 pbra=0 | done=0
         SB: pend0=0000 pend1=0000 pend2=0000 pend3=0000 | wb_we_any=0 wb_rD=0 wb_amsk=0000 | wb_we[3:0]=0000 | DE: v=0 pbra=0 rD=0 | stk_sp=0 tos_rpc=x tos_ph=x
  [C001] PC=0 dec=1c000000 MOV      fv=0 | fstl=0 sb=0 exb=0 drn=1 de_fl=0 | mask=1111 stk_e=1 conv=00 pbra=0 | done=0
         SB: pend0=0000 pend1=0000 pend2=0000 pend3=0000 | wb_we_any=0 wb_rD=0 wb_amsk=0000 | wb_we[3:0]=0000 | DE: v=0 pbra=0 rD=0 | stk_sp=0 tos_rpc=x tos_ph=x
  [C002] PC=1 dec=1c000000 MOV      fv=1 | fstl=0 sb=0 exb=0 drn=1 de_fl=0 | mask=1111 stk_e=1 conv=00 pbra=0 | done=0
         SB: pend0=0000 pend1=0000 pend2=0000 pend3=0000 | wb_we_any=0 wb_rD=0 wb_amsk=0000 | wb_we[3:0]=0000 | DE: v=0 pbra=0 rD=0 | stk_sp=0 tos_rpc=x tos_ph=x
  [C003] PC=2 dec=20100002 MOVI     fv=1 | fstl=0 sb=0 exb=0 drn=1 de_fl=0 | mask=1111 stk_e=1 conv=00 pbra=0 | done=0
         SB: pend0=0000 pend1=0000 pend2=0000 pend3=0000 | wb_we_any=0 wb_rD=0 wb_amsk=0000 | wb_we[3:0]=0000 | DE: v=1 pbra=0 rD=0 | stk_sp=0 tos_rpc=x tos_ph=x
  [C004] PC=3 dec=20200001 MOVI     fv=1 | fstl=0 sb=0 exb=0 drn=0 de_fl=0 | mask=1111 stk_e=1 conv=00 pbra=0 | done=0
         SB: pend0=0001 pend1=0001 pend2=0001 pend3=0001 | wb_we_any=0 wb_rD=0 wb_amsk=0000 | wb_we[3:0]=0000 | DE: v=1 pbra=0 rD=1 | stk_sp=0 tos_rpc=x tos_ph=x
  [C005] PC=4 dec=20500000 MOVI     fv=1 | fstl=0 sb=0 exb=0 drn=0 de_fl=0 | mask=1111 stk_e=1 conv=00 pbra=0 | done=0
         SB: pend0=0003 pend1=0003 pend2=0003 pend3=0003 | wb_we_any=0 wb_rD=0 wb_amsk=0000 | wb_we[3:0]=0000 | DE: v=1 pbra=0 rD=2 | stk_sp=0 tos_rpc=x tos_ph=x
  [C006] PC=5 dec=aa001000 SETP     fv=1 | fstl=0 sb=0 exb=0 drn=0 de_fl=0 | mask=1111 stk_e=1 conv=00 pbra=0 | done=0
         SB: pend0=0007 pend1=0007 pend2=0007 pend3=0007 | wb_we_any=0 wb_rD=0 wb_amsk=0000 | wb_we[3:0]=0000 | DE: v=1 pbra=0 rD=5 | stk_sp=0 tos_rpc=x tos_ph=x
  [C007] PC=6 dec=00000000 NOP      fv=1 | fstl=1 sb=1 exb=0 drn=0 de_fl=0 | mask=1111 stk_e=1 conv=00 pbra=0 | done=0
         SB: pend0=0027 pend1=0027 pend2=0027 pend3=0027 | wb_we_any=1 wb_rD=0 wb_amsk=1111 | wb_we[3:0]=1111 | DE: v=1 pbra=0 rD=0 | stk_sp=0 tos_rpc=x tos_ph=x
  [C008] PC=6 dec=00000000 NOP      fv=1 | fstl=0 sb=0 exb=0 drn=0 de_fl=0 | mask=1111 stk_e=1 conv=00 pbra=0 | done=0
         SB: pend0=0026 pend1=0026 pend2=0026 pend3=0026 | wb_we_any=1 wb_rD=1 wb_amsk=1111 | wb_we[3:0]=1111 | DE: v=1 pbra=0 rD=0 | stk_sp=0 tos_rpc=x tos_ph=x
  [C009] PC=7 dec=00000000 NOP      fv=1 | fstl=0 sb=0 exb=0 drn=0 de_fl=0 | mask=1111 stk_e=1 conv=00 pbra=0 | done=0
         SB: pend0=0024 pend1=0024 pend2=0024 pend3=0024 | wb_we_any=1 wb_rD=2 wb_amsk=1111 | wb_we[3:0]=1111 | DE: v=1 pbra=0 rD=0 | stk_sp=0 tos_rpc=x tos_ph=x
  [C010] PC=8 dec=00000000 NOP      fv=1 | fstl=0 sb=0 exb=0 drn=0 de_fl=0 | mask=1111 stk_e=1 conv=00 pbra=0 | done=0
         SB: pend0=0020 pend1=0020 pend2=0020 pend3=0020 | wb_we_any=1 wb_rD=5 wb_amsk=1111 | wb_we[3:0]=1111 | DE: v=1 pbra=0 rD=0 | stk_sp=0 tos_rpc=x tos_ph=x
  [C011] PC=9 dec=c000b016 PBRA     fv=1 | fstl=0 sb=0 exb=0 drn=1 de_fl=0 | mask=1111 stk_e=1 conv=00 pbra=0 | done=0
         SB: pend0=0000 pend1=0000 pend2=0000 pend3=0000 | wb_we_any=0 wb_rD=5 wb_amsk=1111 | wb_we[3:0]=0000 | DE: v=1 pbra=0 rD=0 | stk_sp=0 tos_rpc=x tos_ph=x
  [C012] PC=10 dec=20503333 MOVI     fv=1 | fstl=0 sb=0 exb=0 drn=1 de_fl=1 | mask=1111 stk_e=1 conv=00 pbra=1 | done=0
         SB: pend0=0000 pend1=0000 pend2=0000 pend3=0000 | wb_we_any=0 wb_rD=0 wb_amsk=1111 | wb_we[3:0]=0000 | DE: v=1 pbra=1 rD=0 | stk_sp=0 tos_rpc=x tos_ph=x
  [C013] PC=11 dec=b8000016 BRA      fv=0 | fstl=0 sb=0 exb=0 drn=1 de_fl=0 | mask=0011 stk_e=0 conv=00 pbra=0 | done=0
         SB: pend0=0000 pend1=0000 pend2=0000 pend3=0000 | wb_we_any=0 wb_rD=0 wb_amsk=1111 | wb_we[3:0]=0000 | DE: v=0 pbra=1 rD=0 | stk_sp=1 tos_rpc=22 tos_ph=0
  [C014] PC=12 dec=aa102000 SETP     fv=1 | fstl=0 sb=0 exb=0 drn=1 de_fl=0 | mask=0011 stk_e=0 conv=00 pbra=0 | done=0
         SB: pend0=0000 pend1=0000 pend2=0000 pend3=0000 | wb_we_any=0 wb_rD=0 wb_amsk=1111 | wb_we[3:0]=0000 | DE: v=0 pbra=0 rD=0 | stk_sp=1 tos_rpc=22 tos_ph=0
  [C015] PC=13 dec=00000000 NOP      fv=1 | fstl=0 sb=0 exb=0 drn=1 de_fl=0 | mask=0011 stk_e=0 conv=00 pbra=0 | done=0
         SB: pend0=0000 pend1=0000 pend2=0000 pend3=0000 | wb_we_any=0 wb_rD=0 wb_amsk=1111 | wb_we[3:0]=0000 | DE: v=1 pbra=0 rD=1 | stk_sp=1 tos_rpc=22 tos_ph=0
  [C016] PC=14 dec=00000000 NOP      fv=1 | fstl=0 sb=0 exb=0 drn=1 de_fl=0 | mask=0011 stk_e=0 conv=00 pbra=0 | done=0
         SB: pend0=0000 pend1=0000 pend2=0000 pend3=0000 | wb_we_any=0 wb_rD=0 wb_amsk=1111 | wb_we[3:0]=0000 | DE: v=1 pbra=0 rD=0 | stk_sp=1 tos_rpc=22 tos_ph=0
  [C017] PC=15 dec=00000000 NOP      fv=1 | fstl=0 sb=0 exb=0 drn=1 de_fl=0 | mask=0011 stk_e=0 conv=00 pbra=0 | done=0
         SB: pend0=0000 pend1=0000 pend2=0000 pend3=0000 | wb_we_any=0 wb_rD=0 wb_amsk=1111 | wb_we[3:0]=0000 | DE: v=1 pbra=0 rD=0 | stk_sp=1 tos_rpc=22 tos_ph=0
  [C018] PC=16 dec=c2012014 PBRA     fv=1 | fstl=0 sb=0 exb=0 drn=1 de_fl=0 | mask=0011 stk_e=0 conv=00 pbra=0 | done=0
         SB: pend0=0000 pend1=0000 pend2=0000 pend3=0000 | wb_we_any=0 wb_rD=0 wb_amsk=1111 | wb_we[3:0]=0000 | DE: v=1 pbra=0 rD=0 | stk_sp=1 tos_rpc=22 tos_ph=0
  [C019] PC=17 dec=20502222 MOVI     fv=1 | fstl=0 sb=0 exb=0 drn=1 de_fl=1 | mask=0011 stk_e=0 conv=00 pbra=1 | done=0
         SB: pend0=0000 pend1=0000 pend2=0000 pend3=0000 | wb_we_any=0 wb_rD=1 wb_amsk=0011 | wb_we[3:0]=0000 | DE: v=1 pbra=1 rD=0 | stk_sp=1 tos_rpc=22 tos_ph=0
  [C020] PC=18 dec=b8000014 BRA      fv=0 | fstl=0 sb=0 exb=0 drn=1 de_fl=0 | mask=0001 stk_e=0 conv=00 pbra=0 | done=0
         SB: pend0=0000 pend1=0000 pend2=0000 pend3=0000 | wb_we_any=0 wb_rD=0 wb_amsk=0011 | wb_we[3:0]=0000 | DE: v=0 pbra=1 rD=0 | stk_sp=2 tos_rpc=20 tos_ph=0
  [C021] PC=19 dec=20501111 MOVI     fv=1 | fstl=0 sb=0 exb=0 drn=1 de_fl=0 | mask=0001 stk_e=0 conv=00 pbra=0 | done=0
         SB: pend0=0000 pend1=0000 pend2=0000 pend3=0000 | wb_we_any=0 wb_rD=0 wb_amsk=0011 | wb_we[3:0]=0000 | DE: v=0 pbra=0 rD=0 | stk_sp=2 tos_rpc=20 tos_ph=0
  [C022] PC=20 dec=00000000 NOP      fv=1 | fstl=0 sb=0 exb=0 drn=1 de_fl=0 | mask=0001 stk_e=0 conv=10 pbra=0 | done=0
         SB: pend0=0000 pend1=0000 pend2=0000 pend3=0000 | wb_we_any=0 wb_rD=0 wb_amsk=0011 | wb_we[3:0]=0000 | DE: v=1 pbra=0 rD=5 | stk_sp=2 tos_rpc=20 tos_ph=0
  [C023] PC=16 dec=00000000 NOP      fv=0 | fstl=0 sb=0 exb=0 drn=0 de_fl=0 | mask=0010 stk_e=0 conv=00 pbra=0 | done=0
         SB: pend0=0020 pend1=0000 pend2=0000 pend3=0000 | wb_we_any=0 wb_rD=0 wb_amsk=0011 | wb_we[3:0]=0000 | DE: v=1 pbra=0 rD=0 | stk_sp=2 tos_rpc=20 tos_ph=1
  [C024] PC=17 dec=20502222 MOVI     fv=1 | fstl=0 sb=0 exb=0 drn=0 de_fl=0 | mask=0010 stk_e=0 conv=00 pbra=0 | done=0
         SB: pend0=0020 pend1=0000 pend2=0000 pend3=0000 | wb_we_any=0 wb_rD=0 wb_amsk=0011 | wb_we[3:0]=0000 | DE: v=0 pbra=0 rD=0 | stk_sp=2 tos_rpc=20 tos_ph=1
  [C025] PC=18 dec=b8000014 BRA      fv=1 | fstl=0 sb=0 exb=0 drn=0 de_fl=0 | mask=0010 stk_e=0 conv=00 pbra=0 | done=0
         SB: pend0=0020 pend1=0000 pend2=0000 pend3=0000 | wb_we_any=0 wb_rD=0 wb_amsk=0011 | wb_we[3:0]=0000 | DE: v=1 pbra=0 rD=5 | stk_sp=2 tos_rpc=20 tos_ph=1
  [C026] PC=19 dec=20501111 MOVI     fv=1 | fstl=0 sb=0 exb=0 drn=0 de_fl=1 | mask=0010 stk_e=0 conv=00 pbra=0 | done=0
         SB: pend0=0020 pend1=0020 pend2=0000 pend3=0000 | wb_we_any=1 wb_rD=5 wb_amsk=0001 | wb_we[3:0]=1111 | DE: v=1 pbra=0 rD=0 | stk_sp=2 tos_rpc=20 tos_ph=1
  [C027] PC=20 dec=00000000 NOP      fv=0 | fstl=0 sb=0 exb=0 drn=0 de_fl=0 | mask=0010 stk_e=0 conv=01 pbra=0 | done=0
         SB: pend0=0000 pend1=0020 pend2=0000 pend3=0000 | wb_we_any=0 wb_rD=0 wb_amsk=0010 | wb_we[3:0]=0000 | DE: v=0 pbra=0 rD=0 | stk_sp=2 tos_rpc=20 tos_ph=1
  [C028] PC=21 dec=00000000 NOP      fv=1 | fstl=0 sb=0 exb=0 drn=0 de_fl=0 | mask=0011 stk_e=0 conv=00 pbra=0 | done=0
         SB: pend0=0000 pend1=0020 pend2=0000 pend3=0000 | wb_we_any=0 wb_rD=0 wb_amsk=0010 | wb_we[3:0]=0000 | DE: v=0 pbra=0 rD=0 | stk_sp=1 tos_rpc=22 tos_ph=0
  [C029] PC=22 dec=00000000 NOP      fv=1 | fstl=0 sb=0 exb=0 drn=0 de_fl=0 | mask=0011 stk_e=0 conv=10 pbra=0 | done=0
         SB: pend0=0000 pend1=0020 pend2=0000 pend3=0000 | wb_we_any=1 wb_rD=5 wb_amsk=0010 | wb_we[3:0]=1111 | DE: v=1 pbra=0 rD=0 | stk_sp=1 tos_rpc=22 tos_ph=0
  [C030] PC=9 dec=2060dddd MOVI     fv=0 | fstl=0 sb=0 exb=0 drn=1 de_fl=0 | mask=1100 stk_e=0 conv=00 pbra=0 | done=0
         SB: pend0=0000 pend1=0000 pend2=0000 pend3=0000 | wb_we_any=0 wb_rD=0 wb_amsk=0010 | wb_we[3:0]=0000 | DE: v=1 pbra=0 rD=0 | stk_sp=1 tos_rpc=22 tos_ph=1
  [C031] PC=10 dec=20503333 MOVI     fv=1 | fstl=0 sb=0 exb=0 drn=1 de_fl=0 | mask=1100 stk_e=0 conv=00 pbra=0 | done=0
         SB: pend0=0000 pend1=0000 pend2=0000 pend3=0000 | wb_we_any=0 wb_rD=0 wb_amsk=0010 | wb_we[3:0]=0000 | DE: v=0 pbra=0 rD=6 | stk_sp=1 tos_rpc=22 tos_ph=1
  [C032] PC=11 dec=b8000016 BRA      fv=1 | fstl=0 sb=0 exb=0 drn=1 de_fl=0 | mask=1100 stk_e=0 conv=00 pbra=0 | done=0
